;;;;;
Print as PDF!;;;;;
;;;;;
;;;;;
;;;;;
Building type;;Construction year class;Building variant;;
German national code;TABULA Code;;;;
;;;;;
;;;;;
Gebäudetyp;;"Baualters-
klasse";Gebäudevariante;;
Code;TABULA Code;;;;
;;;;living_space_m2;living_space_share
;;;;3.778,2;
GMH_E;DE.N.AB.05.Gen;1958 ... 1968;003;;
GMH_F;DE.N.AB.06.Gen;1969 ... 1978;003;;
HH_E;DE.N.AB.05.HR;1958 ... 1968;003;;
HH_F;DE.N.AB.06.HR;1969 ... 1978;003;;
EFH_F/F;DE.N.SFH.06.LightFrame;1969 ... 1978;003;;
NBL_MFH_D;DE.East.MFH.04.Gen;1949 ... 1957;003;;
NBL_MFH_E;DE.East.MFH.05.Gen;1958 ... 1968;003;;
NBL_GMH_F;DE.East.AB.06.Gen;1969 ... 1978;003;;
NBL_GMH_G;DE.East.AB.07.Gen;1979 ... 1983;003;;
NBL_GMH_H;DE.East.AB.08.Gen;1984 ... 1994;003;;
NBL_HH_F;DE.East.AB.06.HR;1969 ... 1978;003;;
NBL_HH_G;DE.East.AB.07.HR;1979 ... 1983;003;;
EFH_A;DE.N.SFH.01.Gen; ... 1859;001;37,2;0,009849656
EFH_B;DE.N.SFH.02.Gen;1860 ... 1918;001;109,2;0,028906598
EFH_C;DE.N.SFH.03.Gen;1919 ... 1948;001;121,3;0,032118442
EFH_D;DE.N.SFH.04.Gen;1949 ... 1957;001;93,8;0,024838262
EFH_E;DE.N.SFH.05.Gen;1958 ... 1968;001;176,4;0,046678803
EFH_F;DE.N.SFH.06.Gen;1969 ... 1978;001;188,5;0,049890647
EFH_G;DE.N.SFH.07.Gen;1979 ... 1983;001;102,8;0,027205602
EFH_H;DE.N.SFH.08.Gen;1984 ... 1994;001;166,3;0,04402361
EFH_I;DE.N.SFH.09.Gen;1995 ... 2001;001;147,6;0,039077137
EFH_J;DE.N.SFH.10.Gen;2002 ... 2009;001;111,2;0,029431515
RH_B;DE.N.TH.02.Gen;1860 ... 1918;001;67,7;0,017907974
RH_C;DE.N.TH.03.Gen;1919 ... 1948;001;66,3;0,017558082
RH_D;DE.N.TH.04.Gen;1949 ... 1957;001;42,1;0,011134393
RH_E;DE.N.TH.05.Gen;1958 ... 1968;001;61,5;0,016273344
RH_F;DE.N.TH.06.Gen;1969 ... 1978;001;63,9;0,016915713
RH_G;DE.N.TH.07.Gen;1979 ... 1983;001;42,0;0,011129564
RH_H;DE.N.TH.08.Gen;1984 ... 1994;001;79,4;0,02102251
RH_I;DE.N.TH.09.Gen;1995 ... 2001;001;74,8;0,019785892
RH_J;DE.N.TH.10.Gen;2002 ... 2009;001;48,6;0,01286083
MFH_A;DE.N.MFH.01.Gen; ... 1859;001;12,9;0,003425967
MFH_B;DE.N.MFH.02.Gen;1860 ... 1918;001;131,9;0,03490204
MFH_C;DE.N.MFH.03.Gen;1919 ... 1948;001;104,4;0,02762186
MFH_D;DE.N.MFH.04.Gen;1949 ... 1957;001;101,1;0,026765368
MFH_E;DE.N.MFH.05.Gen;1958 ... 1968;001;182,0;0,048177663
MFH_F;DE.N.MFH.06.Gen;1969 ... 1978;001;136,7;0,036186778
MFH_G;DE.N.MFH.07.Gen;1979 ... 1983;001;59,8;0,015828714
MFH_H;DE.N.MFH.08.Gen;1984 ... 1994;001;124,3;0,032894046
MFH_I;DE.N.MFH.09.Gen;1995 ... 2001;001;97,2;0,02572166
MFH_J;DE.N.MFH.10.Gen;2002 ... 2009;001;36,4;0,009645622
GMH_B;DE.N.AB.02.Gen;1860 ... 1918;001;29,5;0,007815488
GMH_C;DE.N.AB.03.Gen;1919 ... 1948;001;6,4;0,001691571
GMH_D;DE.N.AB.04.Gen;1949 ... 1957;001;13,8;0,00364009
GMH_E;DE.N.AB.05.Gen;1958 ... 1968;001;38,1;0,010085191
GMH_F;DE.N.AB.06.Gen;1969 ... 1978;001;145,1;0,038392245
HH_E;DE.N.AB.05.HR;1958 ... 1968;001;;0
HH_F;DE.N.AB.06.HR;1969 ... 1978;001;;0
EFH_F/F;DE.N.SFH.06.LightFrame;1969 ... 1978;001;;0
NBL_MFH_D;DE.East.MFH.04.Gen;1949 ... 1957;001;;0
NBL_MFH_E;DE.East.MFH.05.Gen;1958 ... 1968;001;;0
NBL_GMH_F;DE.East.AB.06.Gen;1969 ... 1978;001;;0
NBL_GMH_G;DE.East.AB.07.Gen;1979 ... 1983;001;;0
NBL_GMH_H;DE.East.AB.08.Gen;1984 ... 1994;001;;0
NBL_HH_F;DE.East.AB.06.HR;1969 ... 1978;001;;0
NBL_HH_G;DE.East.AB.07.HR;1979 ... 1983;001;;0
EFH_A;DE.N.SFH.01.Gen; ... 1859;002;8,4;0,002222665
EFH_B;DE.N.SFH.02.Gen;1860 ... 1918;002;24,6;0,006523038
EFH_C;DE.N.SFH.03.Gen;1919 ... 1948;002;27,4;0,00724782
EFH_D;DE.N.SFH.04.Gen;1949 ... 1957;002;21,2;0,005604981
